Date,Pair,Correlation
2025-02-27,NBP-HH,0.016470729064252176
2025-02-28,NBP-HH,0.014562835208856222
2025-03-03,NBP-HH,0.02099721218208749
2025-03-04,NBP-HH,-0.0020268203752418037
2025-03-05,NBP-HH,-0.005321605434345811
2025-03-06,NBP-HH,0.003687683922110726
2025-03-07,NBP-HH,0.00123267091354522
2025-03-10,NBP-HH,0.0015156398778692064
2025-03-11,NBP-HH,-0.0013604814767779068
2025-03-12,NBP-HH,-8.818192578190464e-4
2025-03-13,NBP-HH,-7.50128632731648e-4
2025-03-14,NBP-HH,-0.005151955556985722
2025-03-17,NBP-HH,-0.0036424238234467497
2025-03-18,NBP-HH,-0.004062977954874978
2025-03-19,NBP-HH,-0.0022020639370069176
2025-03-20,NBP-HH,0.006952453667449407
2025-03-21,NBP-HH,0.002499196901363453
2025-03-24,NBP-HH,0.0022736665579356674
2025-03-25,NBP-HH,0.0018938588656740587
2025-03-26,NBP-HH,-3.347373522632659e-6
2025-03-27,NBP-HH,0.0022488978848264445
2025-03-28,NBP-HH,0.003765373237721885
2025-03-31,NBP-HH,-0.0011880883258047275
2025-04-01,NBP-HH,-0.006831703746673416
2025-04-02,NBP-HH,-0.007292384803293505
2025-04-03,NBP-HH,-0.00143402144008221
2025-04-04,NBP-HH,0.015742208842094034
2025-04-07,NBP-HH,0.01721231696585503
2025-04-08,NBP-HH,0.0198726788066617
2025-04-09,NBP-HH,0.0011827437200977629
2025-04-10,NBP-HH,0.0021791869804719376
2025-04-11,NBP-HH,0.001898719725353421
2025-04-14,NBP-HH,0.012352398281890118
2025-04-15,NBP-HH,0.012341157122818587
2025-04-16,NBP-HH,0.011891689726017986
2025-04-17,NBP-HH,0.008402534279837911
2025-04-22,NBP-HH,0.013203517636498276
2025-04-23,NBP-HH,0.010914015153908756
2025-04-24,NBP-HH,0.01219368664024805
2025-04-25,NBP-HH,0.014632638894542088
2025-04-28,NBP-HH,0.016348541421464493
2025-04-29,NBP-HH,0.01788273326780751
2025-04-30,NBP-HH,0.018281437987822845
2025-05-01,NBP-HH,0.015156028990971807
2025-05-02,NBP-HH,0.0429816980087724
2025-05-06,NBP-HH,0.0378662400176682
2025-05-07,NBP-HH,0.034195226409509075
2025-05-08,NBP-HH,0.0237046182366704
2025-05-09,NBP-HH,0.02229256134675353
2025-05-12,NBP-HH,0.019751261923272156
2025-05-13,NBP-HH,0.01918199932840169
2025-05-14,NBP-HH,0.020016146575453496
2025-05-15,NBP-HH,0.016567629523022525
2025-05-16,NBP-HH,0.01950086282510072
2025-05-19,NBP-HH,0.01767059744546828
2025-05-20,NBP-HH,0.03141492864957673
